Customer_ID,Policy_ID,Customer_Name,Age,City,Policy_Type,Policy_Start_Date,Policy_Status,Annual_Premium,Sum_Assured,Claim_Status,Claim_Amount,Deductible,Sales_Channel,Payment_Mode,Claim_Ratio,Premium_Band,Age_Group
CUST104935,POL204935,Rahul Patel,36.0,Pune,Auto,2023-08-14,Active,75049.22,1297675.45,Pending,150800.78,6384.26,Online,Auto Debit,2.009358391732785,Very High,36-45
CUST105976,POL205976,Rahul Patel,59.0,Coimbatore,Auto,2022-08-15,Cancelled,96076.43,1317404.84,Approved,98012.01,2677.88,Broker,Auto Debit,1.0201462523118314,Very High,56-65
CUST103293,POL203293,Anjali Iyer,23.0,Chennai,Annuity,2021-11-09,Lapsed,67613.78,255026.68,Denied,187783.33,4502.93,Partner,Bank Transfer,2.777293770589368,Very High,18-25
CUST108676,POL208676,Priya Sharma,68.0,Delhi,Auto,2021-11-08,Lapsed,54219.15,183263.36,Pending,97514.24,4841.59,Branch,Auto Debit,1.798520264519086,Very High,65+
CUST109973,POL209973,Rahul Patel,52.0,Delhi,Term Life,2021-01-04,Expired,83103.15,386815.13,Approved,375656.24,6091.45,Broker,Debit Card,4.5203610212127945,Very High,46-55
CUST101474,POL201474,Arun Kumar,37.0,Bangalore,Health,2024-01-26,Cancelled,74330.55,1635889.93,Denied,68458.78,4720.45,Online,Credit Card,0.9210046205766,Very High,36-45
CUST103273,POL203273,Divya Gupta,28.0,Ahmedabad,Travel,2023-09-23,Active,22323.4,94411.37,Denied,331412.65,2636.89,Broker,Auto Debit,14.84597552344177,Medium,26-35
CUST108693,POL208693,Priya Sharma,46.0,Pune,Home,2023-11-13,Cancelled,14009.51,1974029.29,Pending,122419.52,8659.34,Partner,Auto Debit,8.738315615606828,Medium,46-55
CUST102160,POL202160,Rahul Patel,72.0,Kolkata,Health,2023-02-09,Lapsed,19268.01,588224.62,No Claim,0.0,5747.83,Online,Cash,0.0,Medium,65+
CUST108551,POL208551,Vijay Nair,26.0,Chennai,Annuity,2023-12-10,Active,30839.75,2383914.46,Approved,337886.94,8457.39,Broker,Auto Debit,10.95621527411863,High,26-35
CUST102249,POL202249,Rahul Patel,35.0,Delhi,Home,2022-07-07,Lapsed,6426.64,404039.44,Approved,45491.65,9767.89,Partner,Credit Card,7.078605616620815,Low,26-35
CUST103007,POL203007,Vijay Nair,28.0,Delhi,Health,2021-11-18,Lapsed,43165.79,1681787.17,No Claim,0.0,5349.96,Agent,Cash,0.0,High,26-35
CUST108466,POL208466,Karthik Reddy,56.0,Bangalore,Annuity,2021-09-12,Lapsed,73763.16,746679.52,Pending,204835.74,6413.16,Branch,Bank Transfer,2.7769382439689405,Very High,56-65
CUST106888,POL206888,Divya Gupta,60.0,Kolkata,Annuity,2025-10-08,Cancelled,19022.69,985544.24,Approved,381772.02,4351.62,Broker,Auto Debit,20.069297244501172,Medium,56-65
CUST102311,POL202311,Suresh Verma,56.0,Bangalore,Annuity,2024-12-01,Lapsed,58707.28,829218.01,Approved,265707.72,6083.58,Broker,Credit Card,4.525975654126711,Very High,56-65
CUST103816,POL203816,Priya Sharma,59.0,Jaipur,Health,2023-05-25,Cancelled,96175.77,784630.88,Approved,290267.22,7594.63,Agent,UPI,3.0180909391211523,Very High,56-65
CUST104779,POL204779,Vijay Nair,40.0,Jaipur,Term Life,2022-01-02,Expired,70939.47,1429776.36,Under Review,237662.12,6125.98,Agent,Bank Transfer,3.350209974785546,Very High,36-45
CUST109741,POL209741,Karthik Reddy,39.0,Coimbatore,Term Life,2022-06-02,Lapsed,32638.14,2050057.75,Under Review,11289.39,9740.68,Broker,Bank Transfer,0.3458956300818612,High,36-45
CUST108304,POL208304,Karthik Reddy,38.0,Jaipur,Term Life,2025-08-02,Lapsed,19118.0,1899240.99,No Claim,0.0,7979.63,Agent,Debit Card,0.0,Medium,36-45
