Customer_ID,Policy_ID,Customer_Name,Age,City,Policy_Type,Policy_Start_Date,Policy_Status,Annual_Premium,Sum_Assured,Claim_Status,Claim_Amount,Deductible,Sales_Channel,Payment_Mode
CUST100001,POL200001,Sneha Gupta,51,Mumbai,Travel,2024-02-01,Active,7364.19,162667.88,No Claim,0.0,500.0,Partner,Bank Transfer
CUST100002,POL200002,Swathi Rao,52,Jaipur,Life,2024-12-30,Active,22354.08,591461.34,No Claim,0.0,1494.02,Partner,UPI
CUST100003,POL200003,Pooja Joshi,64,Jaipur,Travel,2023-05-11,Active,8529.44,124162.53,Under Review,7917.71,699.96,Online,Auto Debit
CUST100004,POL200004,Suresh Verma,26,Kolkata,Health,2024-07-18,Active,32750.29,485593.16,No Claim,0.0,847.21,Agent,Bank Transfer
CUST100005,POL200005,Divya Das,41,Delhi,Life,2024-02-05,Active,24815.29,216983.82,Denied,100536.2,2188.18,Broker,Bank Transfer
CUST100006,POL200006,Priya Das,43,Jaipur,Health,2024-01-01,Active,22640.09,455570.53,No Claim,0.0,1681.07,Branch,UPI
CUST100007,POL200007,Swathi Kumar,24,Kolkata,Home,2025-09-21,Expired,10010.72,93617.48,No Claim,0.0,1138.67,Online,Credit Card
CUST100008,POL200008,Amit Singh,63,Jaipur,Life,2023-11-11,Active,41832.48,336704.06,No Claim,0.0,3112.82,Broker,Auto Debit
CUST100009,POL200009,Neha Pillai,57,Hyderabad,Term Life,2025-06-27,Active,11834.63,127720.39,No Claim,0.0,1409.52,Partner,Debit Card
CUST100010,POL200010,Naveen Patel,42,Jaipur,Life,2021-05-02,Active,37093.59,651457.91,Approved,131795.22,4337.87,Branch,Debit Card
CUST100011,POL200011,Meena Mehta,46,Chennai,Annuity,2022-04-12,Expired,26448.72,646081.88,No Claim,0.0,1590.95,Agent,UPI
CUST100012,POL200012,Amit Verma,62,Delhi,Travel,2024-05-23,Active,8820.59,201573.24,No Claim,0.0,500.0,Agent,Credit Card
CUST100013,POL200013,Meena Mehta,43,Bengaluru,Health,2021-11-27,Active,27652.83,411244.7,Under Review,47159.45,2786.26,Online,Auto Debit
CUST100014,POL200014,Neha Patel,56,Chennai,Health,2025-01-22,Active,28807.57,433890.94,Approved,38621.13,3032.27,Agent,Auto Debit
CUST100015,POL200015,Kavya Nair,36,Hyderabad,Travel,2021-03-29,Active,8120.96,182455.9,Under Review,2976.34,611.47,Agent,Bank Transfer
CUST100016,POL200016,Naveen Kumar,52,Kolkata,Home,2024-10-28,Active,14795.07,348592.74,No Claim,0.0,1379.88,Branch,Debit Card
CUST100017,POL200017,Arun Verma,27,Hyderabad,Home,2024-01-29,Active,18483.19,441810.41,Under Review,31429.37,1251.46,Branch,Auto Debit
CUST100018,POL200018,Sneha Iyer,35,Coimbatore,Health,2023-05-22,Active,17778.62,204185.18,Approved,35246.88,1480.69,Branch,Auto Debit
CUST100019,POL200019,Aishwarya Gupta,50,Coimbatore,Auto,2025-08-15,Active,15323.96,144537.85,Under Review,73325.49,1091.32,Agent,Auto Debit
CUST100020,POL200020,Priya Reddy,65,Jaipur,Annuity,2021-05-11,Cancelled,21757.63,415582.95,No Claim,0.0,1479.19,Agent,Auto Debit
CUST100021,POL200021,Ravi Sharma,49,Hyderabad,Health,2025-08-13,Lapsed,26930.43,451649.05,No Claim,0.0,2747.47,Agent,Debit Card
CUST100022,POL200022,Neha Singh,31,Pune,Auto,2024-08-25,Active,26547.74,755127.29,No Claim,0.0,1007.4,Branch,Debit Card
CUST100023,POL200023,Santhosh Sharma,32,Bengaluru,Health,2023-02-09,Lapsed,21258.49,172761.07,No Claim,0.0,1327.78,Online,Credit Card
CUST100024,POL200024,Swathi Sharma,43,Ahmedabad,Travel,2021-12-10,Active,5067.05,130713.49,No Claim,0.0,500.0,Online,Bank Transfer
CUST100025,POL200025,Santhosh Singh,56,Coimbatore,Travel,2025-02-24,Active,9466.1,282292.15,Under Review,2577.9,1122.31,Agent,Bank Transfer
CUST100026,POL200026,Manoj Pillai,34,Delhi,Health,2024-12-08,Cancelled,27687.86,739497.47,Under Review,44268.48,2136.73,Agent,UPI
CUST100027,POL200027,Karthik Joshi,44,Bengaluru,Life,2023-03-17,Lapsed,42920.71,1112723.05,Under Review,225356.4,3219.9,Broker,UPI
CUST100028,POL200028,Divya Reddy,24,Kolkata,Life,2022-01-21,Lapsed,15592.3,132447.66,No Claim,0.0,1103.97,Agent,UPI
CUST100029,POL200029,Karthik Rao,34,Hyderabad,Auto,2024-04-30,Active,17842.9,482453.47,No Claim,0.0,500.0,Branch,Bank Transfer
CUST100030,POL200030,Anjali Das,41,Delhi,Auto,2023-08-14,Active,27738.97,578389.79,Denied,130793.74,2360.24,Agent,UPI
CUST100031,POL200031,Santhosh Verma,58,Jaipur,Annuity,2021-10-04,Active,45252.24,1013093.79,No Claim,0.0,5266.72,Agent,Debit Card
CUST100032,POL200032,Pooja Sharma,39,Chennai,Auto,2024-03-30,Active,19183.55,320995.09,No Claim,0.0,1769.69,Agent,Auto Debit
CUST100033,POL200033,Naveen Das,63,Bengaluru,Health,2022-04-05,Lapsed,22132.08,636696.85,No Claim,0.0,1149.93,Broker,Auto Debit
CUST100034,POL200034,Pooja Iyer,45,Delhi,Term Life,2024-08-30,Active,27624.18,538881.88,Approved,134627.51,2367.21,Agent,Credit Card
CUST100035,POL200035,Suresh Rao,48,Mumbai,Auto,2021-01-22,Active,26369.54,569268.29,Approved,5672.04,1856.19,Partner,Debit Card
CUST100036,POL200036,Karthik Verma,59,Chennai,Home,2021-09-10,Active,8453.14,106476.79,No Claim,0.0,732.55,Broker,Auto Debit
CUST100037,POL200037,Swathi Reddy,46,Kolkata,Life,2023-01-18,Active,19129.57,387932.99,No Claim,0.0,2290.78,Branch,Auto Debit
CUST100038,POL200038,Pooja Mehta,43,Jaipur,Health,2023-05-07,Expired,24498.03,314903.31,No Claim,0.0,1983.67,Online,Credit Card
CUST100039,POL200039,Suresh Das,29,Chennai,Annuity,2025-05-04,Active,23663.49,248943.1,Denied,50165.73,518.83,Partner,Credit Card
CUST100040,POL200040,Neha Mehta,44,Ahmedabad,Home,2022-04-20,Cancelled,12783.61,247118.99,Approved,35143.23,579.85,Online,Debit Card
CUST100041,POL200041,Neha Singh,44,Jaipur,Health,2023-12-19,Cancelled,32304.79,859770.98,No Claim,0.0,2013.94,Online,Credit Card
CUST100042,POL200042,Rahul Nair,64,Bengaluru,Home,2022-05-26,Lapsed,14621.3,399204.01,No Claim,0.0,500.0,Online,Auto Debit
CUST100043,POL200043,Sneha Sharma,49,Chennai,Term Life,2025-09-02,Active,18828.11,538738.94,Pending,14517.2,1247.82,Agent,Credit Card
CUST100044,POL200044,Pooja Sharma,43,Pune,Health,2025-02-08,Active,16315.42,466588.76,Under Review,10211.19,1063.64,Agent,Debit Card
CUST100045,POL200045,Pooja Verma,67,Kolkata,Auto,2022-12-01,Active,21825.82,639726.23,Approved,45693.14,2350.95,Partner,Credit Card
CUST100046,POL200046,Arun Reddy,30,Bengaluru,Annuity,2023-09-03,Active,23881.94,570258.9,No Claim,0.0,1166.92,Broker,UPI
CUST100047,POL200047,Pooja Reddy,65,Delhi,Life,2025-12-12,Active,34810.82,363899.94,No Claim,0.0,2115.92,Online,Bank Transfer
CUST100048,POL200048,Santhosh Gupta,30,Delhi,Travel,2021-07-09,Active,8914.16,192479.91,Denied,45285.29,500.0,Online,Debit Card
CUST100049,POL200049,Vijay Singh,36,Kolkata,Home,2023-08-16,Active,22664.55,484928.64,Approved,52635.3,2265.74,Broker,Credit Card
CUST100050,POL200050,Manoj Nair,31,Chennai,Home,2022-11-18,Lapsed,17860.39,185008.22,Under Review,75203.07,1770.3,Online,UPI
CUST100051,POL200051,Priya Verma,45,Coimbatore,Health,2023-08-16,Active,20133.3,472371.49,Under Review,67843.37,2304.8,Online,Auto Debit
CUST100052,POL200052,Aishwarya Gupta,26,Ahmedabad,Health,2022-07-17,Lapsed,32710.58,559618.59,No Claim,0.0,3374.93,Online,Credit Card
CUST100053,POL200053,Meena Pillai,70,Delhi,Home,2025-05-10,Active,18094.3,172708.66,Denied,88721.92,1821.33,Agent,Debit Card
CUST100054,POL200054,Rahul Nair,47,Hyderabad,Health,2024-06-21,Active,20766.93,593336.95,No Claim,0.0,905.63,Agent,UPI
CUST100055,POL200055,Divya Singh,63,Jaipur,Auto,2023-04-12,Active,16286.28,199009.3,Denied,32040.75,1438.94,Partner,Credit Card
CUST100056,POL200056,Suresh Joshi,45,Hyderabad,Health,2025-03-09,Expired,19858.86,213026.0,No Claim,0.0,500.0,Partner,Debit Card
CUST100057,POL200057,Meena Rao,71,Kolkata,Life,2024-02-29,Active,17135.38,213501.18,No Claim,0.0,500.0,Online,Debit Card
CUST100058,POL200058,Suresh Joshi,49,Coimbatore,Annuity,2025-02-17,Active,23151.37,574483.2,No Claim,0.0,1166.67,Online,Auto Debit
